,final.result,huobi,hushen300,zhongzheng500,zhongzheng800,jinglin,szhl
2009/6/25,99.85,0.015,3117.92,3427.47,3148.71,276.77,5027.27
2009/7/24,119.42,0.015,3667.56,3907.97,3680.17,305.82,6018.71
2009/8/25,123.88,0.015,3109.83,3485.92,3153.12,309.96,4604.8
2009/9/25,128.79,0.015,3058.53,3536.81,3121.58,289.11,4828.33
2009/10/23,133.11,0.015,3413.25,3908.44,3476.35,297.57,5339.11
2009/11/25,137.02,0.015,3629.63,4512.08,3763.77,327.07,5849.08
2009/12/25,134.45,0.015,3424.78,4376.19,3573.7,323.64,5896.15
2010/1/25,130.55,0.015,3328.01,4481.16,3516.94,322.8,5220.08
2010/2/25,131.73,0.015,3292.13,4629.97,3516.84,325.08,5400.75
2010/3/25,131.94,0.015,3229.13,4620.75,3464.72,321.34,5402.63
2010/4/23,142.2,0.015,3190,4864.16,3480.05,334.69,4903.34
2010/5/25,143.17,0.015,2813.94,4133.35,3039.67,326.22,4515.91
2010/6/25,143.53,0.015,2736.29,4028.43,2957.53,335.13,4046.25
2010/7/23,144.88,0.015,2793.08,4015.47,3000.46,323.33,4720.04
2010/8/25,146.31,0.015,2843.02,4368.3,3107.44,341.09,4926.99
2010/9/25,144.6,0.02,2905,4674,3214.99,363.53,4975.38
2010/10/25,177.32,0.02,3481.08,4998.5,3738.48,375.81,5770.16
2010/11/25,188.45,0.02,3223.48,5259.81,3580.99,401.96,5345.23
2010/12/31,186.58,0.02,3128.26,4936.72,3443.58,395.09,5569.91
2011/1/31,192.2,0.02,3076.51,4610.86,3340.51,393.47,5398.78
2011/2/28,190.26,0.02,3239.56,5095.21,3562.81,381.59,5781.29
2011/3/31,188.96,0.03,3223.29,5000.4,3531.88,383.77,5691.77
2011/4/29,194.86,0.03,3192.72,4836.87,3476.5,382.25,5510.06
2011/5/31,195.13,0.03,3001.56,4444.28,3248.9,382.74,5156.47
2011/6/30,195.91,0.03,3044.09,4579.33,3308.54,362.15,5334.44
2011/7/29,196.51,0.03,2972.08,4628.32,3259.54,373.07,5213.35
2011/8/31,195.04,0.03,2846.78,4430.54,3121.63,362.07,4868
2011/9/30,194.12,0.03,2581.35,3856.83,2800.62,356,4430.87
2011/10/31,196.55,0.03,2695.31,3999.36,2919.09,333.82,4514.31
2011/11/30,194.43,0.05,2521.52,3819.94,2745.51,352.87,4127.37
2011/12/31,195.14,0.05,2345.74,3266.77,2500.65,336.88,3816.26
2012/1/31,192.43,0.05,2464.26,3294.49,2601.39,323.21,3966.59
2012/2/29,205.07,0.05,2634.14,3696.14,2813.29,326,4305.28
2012/3/31,201.69,0.04,2454.9,3416.86,2616.71,348.01,4008.42
2012/4/28,204.21,0.04,2626.16,3664.64,2801,335.78,4343.31
2012/5/31,205.86,0.04,2632.04,3753.59,2822.32,343.4,4384.7
2012/6/29,202.62,0.04,2461.61,3470.97,2632.19,335.56,4057.02
2012/7/31,201.25,0.04,2332.92,3159.19,2470.54,351.39,3899.89
2012/8/31,204.68,0.04,2204.87,3139.5,2363.29,347.67,3517.89
2012/9/29,206.53,0.04,2293.11,3199.75,2445.81,340.52,3660.12
2012/10/31,206.95,0.04,2254.82,3168.1,2408.99,344.34,3627.62
2012/11/30,204.95,0.04,2139.66,2816.62,2250.98,330.65,3449.8
2012/12/31,221.5,0.04,2522.95,3275.86,2645.86,333.54,3968.92
2013/1/31,236.02,0.04,2686.88,3479.64,2816.12,376.76,4292.97
2013/2/28,241.61,0.04,2673.33,3608.2,2828.58,407.78,4261.02
2013/3/29,228.42,0.04,2495.08,3447.28,2654.53,391.12,3885.02
2013/4/28,232.77,0.04,2447.31,3367.77,2601.24,375.4,3921.02
2013/5/31,255.49,0.04,2606.43,3841.22,2816.73,401.4,4161.68
2013/6/28,243.87,0.04,2200.64,3235.98,2376.89,364.91,3469.63
2013/7/31,242.65,0.04,2193.02,3430.74,2405.94,374.9,3452.15
2013/8/30,251.41,0.04,2313.91,3664.15,2546.58,398.42,3587.41
2013/9/30,297.55,0.04,2409.04,3872.89,2661.78,422.44,3647.87
2013/10/31,270.65,0.04,2373.72,3713.83,2604.35,411.29,3736
2013/11/29,284.62,0.04,2438.94,3946.38,2699.42,427.9,3792
2013/12/31,272.01,0.04,2330.03,3829.1,2589.35,422.79,3744.18
2014/1/30,272.63,0.055,2202.45,3885.42,2494.15,404.26,3489.03
2014/2/28,268.98,0.055,2178.97,3975.93,2490.65,396.9,3362.4
2014/3/31,251.13,0.05,2146.3,3840.54,2440.04,377.16,3441.14
2014/4/30,247.25,0.05,2158.66,3766.17,2437.18,385.85,3431.03
2014/5/30,260,0.05,2156.46,3829.24,2446.42,390.73,3485.4
2014/6/30,272.63,0.04,2165.12,3924.9,2470.2,399.6,3470.73
2014/7/31,273.26,0.04,2350.25,4257.04,2680.8,433.97,3851.17
2014/8/29,276.16,0.04,2338.29,4427.88,2700.52,437.77,3764.18
2014/9/30,309.29,0.04,2450.99,4916.12,2878.33,456.5,3879.91
2014/10/31,308.51,0.04,2508.32,4986.42,2937.91,460.27,3997.96
2014/11/28,327.62,0.04,2808.82,5245.27,3231.13,491.84,4505.05
2014/12/31,306.4,0.04,3533.71,5322.71,3839.39,612.84,5711.01
2015/1/30,333.7,0.04,3434.39,5632.73,3813.4,619.21,5565.39
2015/2/28,384.34,0.04,3572.84,6018.46,3995.43,632.76,5798.39
2015/3/31,463.23,0.04,4051.2,7253.1,4606.9,681.67,6627.63
2015/4/30,503.76,0.04,4749.89,8469.67,5395.31,754.58,7376.64
2015/5/29,619.78,0.04,4840.83,9966.84,5736.51,777.39,7566.71
2015/6/30,581.28,0.03,4473,8906.02,5249.52,755.93,7348.57
2015/7/31,463,0.03,3816.7,7727.06,4501.57,722.44,6065.75
2015/8/31,463.3,0.03,3366.54,6581.31,3929.9,714.08,5351.15
2015/9/30,459.24,0.03,3202.95,6123.73,3714.97,689.55,4898.46
2015/10/30,465.59,0.03,3534.08,7084.97,4156.09,737.35,5453.81
2015/11/30,528.23,0.03,3566.41,7408.4,4239.11,728.51,5577.16
2015/12/31,537.44,0.03,3731,7617.69,4411.98,760.15,6535.61
2016/1/29,468.91,0.027,2946.09,5469.13,3387.11,637.09,5307.8
2016/2/29,469.34,0.027,2877.47,5350.43,3309.76,626.84,5185.05
2016/3/31,473.33,0.027,3218.09,6155.81,3731.98,686.43,5794.18
2016/4/29,470.47,0.027,3156.75,5985.59,3651.55,643.62,5684
2016/5/31,470.61,0.027,3169.56,5947.32,3655.33,654.62,5724.82
2016/6/30,470.34,0.024,3153.92,6123.49,3674.23,673.2,5849.18
2016/7/29,459.42,0.024,3203.93,6202.89,3729.26,722.04,5796.31
2016/8/31,460.19,0.024,3327.79,6434.21,3871.89,734.4,6157.77
2016/9/30,453.11,0.024,3253.28,6328.09,3792.11,738.61,6207.86
2016/10/31,457.46,0.024,3336.28,6452.21,3882.04,763.96,6252.31
2016/11/30,455.31,0.024,3538,6585.58,4069.92,786.42,6772.15
2016/12/30,422.3,0.024,3310.08,6263.63,3826.47,751.14,6103.42
2017/1/26,426.5,0.027,3387.96,6223.71,3882.22,803.93,6270.61
2017/2/28,433.43,0.027,3452.81,6450.97,3976.33,836.34,6563.39
2017/3/31,430.36,0.03,3456.05,6401.65,3969.92,886.99,6763.17
2017/4/28,422.08,0.03,3439.75,6211.86,3921.97,918.36,6795.37
2017/5/31,439.42,0.03,3492.88,5824.1,3893.98,976.07,6952.52
2017/6/30,460.15,0.03,3667,6138.16,4092.3,1039.56,7685.5
2017/7/31,490.25,0.03,3738,6298,4179.18,1065.05,7648.32
2017/8/31,508.74,0.03,3822,6470.43,4278.99,1073.04,7675.66
2017/9/30,510.2,0.03,3837,6603,4315,1110.52,7930.56
2017/10/31,528.18,0.03,4007,6560,4444,1212.34,8520.75
2017/11/30,509.33,0.03,4006,6263,4389,1239.54,8609
